Day,Date,Close/Last,Volume,Open,High,Low
1,02/24/2025,75.31,5144376,75.96,76.48,71.78
2,02/21/2025,76.10,5572028,82.97,83.05,75.24
3,02/20/2025,82.03,3348973,85.20,86.09,81.48
4,02/19/2025,84.99,2802896,85.36,86.37,84.39
5,02/18/2025,85.37,4104633,82.41,86.88,82.41
6,02/14/2025,81.97,4067357,83.90,84.91,81.24
7,02/13/2025,83.54,13876800,84.56,86.42,80.17
8,02/12/2025,64.71,5692537,63.17,64.98,62.11
9,02/11/2025,64.19,4141877,65.69,66.11,63.92
10,02/10/2025,66.58,3257216,67.10,67.71,66.19
11,02/07/2025,66.78,2554233,67.75,68.47,66.58
12,02/06/2025,67.75,2629952,65.73,67.78,65.48
13,02/05/2025,65.70,2193712,64.85,65.77,64.33
14,02/04/2025,64.62,1426894,63.63,64.92,63.35
15,02/03/2025,63.32,1939272,60.35,63.96,60.06
16,01/31/2025,62.52,1548576,63.47,63.70,62.19
17,01/30/2025,63.22,2360816,61.73,63.98,61.45
18,01/29/2025,61.86,2414248,60.20,62.24,59.91
19,01/28/2025,59.59,1047601,59.71,60.85,59.08
20,01/27/2025,59.34,1955794,58.78,60.16,57.78
21,01/24/2025,60.20,1532219,60.59,60.88,59.97
